"ID",Page,Sub Menu,Feature,Bobot,Test,Action,Step,Expected Result,Actual Result,Status,Progress,Remarks of Test
A-001,Kiosk,Idle Attract,,14.29%,[Tampilan Visual Idle Attract] Verifikasi seluruh tampilan visual,,"Prerequisite: Buka aplikasi hingga masuk ke layar Idle Attract

Steps:
- Jalankan aplikasi kiosk 
- Tunggu hingga layar Idle Attract muncul 
- Periksa banner ""NEW SEASONAL SPECIALS ARE HERE"" 
- Periksa seluruh elemen visual pada layar 
- Periksa posisi teks, gambar makanan, serta elemen tangan dan garpu 
- Pastikan tidak terdapat elemen UI yang terpotong atau overlap","- Banner tampil lengkap dan teks terbaca jelas 
- Gambar makanan tampil utuh tanpa blur atau crop 
- Elemen tangan dan garpu muncul sesuai desain 
- Warna dan komposisi visual konsisten dengan desain 
- Layout tidak mengalami overlap, distorsi, atau elemen terpotong 
- Layar tampil stabil tanpa flicker atau glitch",As Expected,DONE,100,
A-002,Kiosk,Idle Attract,,14.29%,[Tombol Tap to Start (UI & Fungsi)] Verifikasi tampilan dan fungsi tombol,,"Prerequisite: Pastikan sistem berada pada layar Idle Attract

Steps:
- Periksa tampilan tombol ""TAP TO START"" 
- Periksa bentuk tombol lingkaran dengan warna gradasi 
- Periksa ukuran teks dan kontras warna tombol 
- Tekan tombol ""TAP TO START""","- Tombol tampil dengan bentuk lingkaran gradasi dan teks jelas 
- Tombol berada pada posisi yang sesuai desain 
- Tombol dapat ditekan tanpa delay 
- Sistem berpindah ke halaman Welcome Screen 
- Tidak terjadi freeze, error, atau tampilan kosong saat transisi halaman",As Expected,DONE,100,
A-003,Kiosk,Idle Attract,,14.29%,[Header & Instruction Text] Verifikasi tampilan elemen header dan instruksi,,"Prerequisite: Buka layar Welcome setelah berpindah dari Idle Attract

Steps:
- Periksa tampilan logo Chick-fil-A pada bagian header 
- Periksa teks greeting yang muncul pada layar 
- Periksa teks instruksi yang ditampilkan 
- Periksa ukuran font, alignment, dan kontras warna teks","- Logo tampil jelas tanpa blur dan berada pada posisi yang benar 
- Teks greeting tampil lengkap dan tidak terpotong 
- Teks instruksi tampil jelas dan mudah dibaca 
- Layout teks rapi dan konsisten dengan desain UI 
- Tidak terdapat teks yang overlap atau keluar dari container",As Expected,DONE,100,
A-004,Kiosk,Idle Attract,,14.29%,[Start Order Button (UI & Fungsi)] Verifikasi tampilan dan fungsi tombol,,"Prerequisite: Pastikan sistem berada pada layar Welcome

Steps:
- Periksa tampilan tombol ""Start order"" 
- Periksa warna tombol, bentuk, dan ukuran teks 
- Tekan tombol ""Start order""","- Tombol tampil dalam warna oranye dengan teks jelas terbaca 
- Tombol berada pada posisi yang sesuai desain 
- Tombol dapat ditekan tanpa delay 
- Sistem berpindah ke halaman Menu Categories 
- Transisi halaman berjalan normal tanpa freeze atau error",As Expected,DONE,100,
A-005,Kiosk,Idle Attract,,14.29%,[Gambar Produk] Verifikasi tampilan gambar makanan dan minuman,,"Prerequisite: Buka layar Welcome dan amati elemen gambar produk

Steps:
- Periksa gambar menu pada layar
- Periksa kualitas dan ketajaman gambar menu
- Periksa apakah ada gambar yang terpotong atau distorsi
- Periksa komposisi layout gambar terhadap elemen UI lain","- Gambar muncul utuh tanpa blur atau crop 
- Komposisi gambar sesuai desain 
- Proporsi gambar seimbang dan tidak terdistorsi 
- Warna produk terlihat natural dan konsisten 
- Tidak terdapat overlap dengan elemen UI lain",As Expected,DONE,100,
A-006,Kiosk,Idle Attract,,14.29%,[Language Selector & Switching] Verifikasi tampilan dan fungsi selector bahasa,,"Prerequisite: Buka layar Welcome kemudian lakukan interaksi pada opsi bahasa

Steps:
- Periksa bagian language selector pada layar 
- Periksa opsi bahasa English dan Bahasa Indonesia 
- Pilih opsi Bahasa Indonesia 
- Periksa perubahan teks pada UI 
- Pilih kembali opsi English 
- Periksa perubahan teks kembali ke bahasa sebelumnya","- Opsi bahasa tampil lengkap dengan ikon bendera dan teks jelas 
- Perubahan bahasa berjalan tanpa delay 
- Seluruh teks UI berubah sesuai bahasa yang dipilih 
- Layout tetap rapi setelah perubahan bahasa 
- Tidak terdapat elemen UI yang rusak setelah switching bahasa",As Expected,DONE,100,
A-006,Kiosk,,,20.00%,Memulai Pemesanan dengan Data Kosong,,"- Buka halaman Kiosk
- Klik tombol Start Order
- Kosongkan semua field yang diperlukan
- Klik tombol Lanjut",Aplikasi tidak dapat memproses pemesanan dan karena tombol lanjut tidak muncul saat tidak ada product yang dipilih,As Expected,DONE,100,
A-007,Kiosk,Menu Categories,,33.33%,[Categories Sidebar] Verifikasi tampilan dan fungsi sidebar kategori,,"Prerequisite: Buka layar Menu Categories

Steps:
- Periksa sidebar kategori pada sisi kiri layar
- Periksa ikon dan label kategori yang ditampilkan
- Tekan salah satu kategori
- Periksa perubahan konten menu setelah kategori dipilih
- Tekan kategori lain pada sidebar
- Periksa bahwa konten menu berubah sesuai kategori yang dipilih","- Sidebar menampilkan ikon dan label kategori dengan jelas 
- Kategori yang dipilih tampil dalam kondisi highlight 
- Konten menu berubah sesuai kategori yang dipilih 
- Navigasi antar kategori berjalan lancar 
- Tidak terjadi delay, freeze, atau error saat berpindah kategori",As Expected,DONE,100,
A-007,Kiosk,,,20.00%,Memasukkan Jumlah Pesanan Melebihi Stok,,"- Buka halaman Kiosk
- Klik tombol Start Order
- Pilih menu dan masukkan jumlah pesanan melebihi stok
- lanjut sampai create payment",Aplikasi menampilkan pesan error dan tidak dapat memproses pemesanan,As Expected,DONE,100,
A-008,Kiosk,Menu Categories,,33.33%,[Today's Specials] Verifikasi tampilan dan interaksi Today's Specials,,"Prerequisite: Buka layar Menu Categories

Steps:
- Periksa section Today's Specials pada layar 
- Periksa kartu menu yang ditampilkan 
- Periksa gambar, nama item, dan tombol ""Order now"" 
- Tekan tombol ""Order now"" banner","- UI menampilkan kartu item dengan gambar, nama menu, dan tombol Order Now 
- Informasi item terlihat jelas dan tidak terpotong 
- Ketika tombol Order Now ditekan sistem membuka halaman category terpilih 
- Transisi halaman berjalan lancar tanpa error",As Expected,DONE,100,[Actual Result: - Diarahkan ke category product]
